Landing pages
"August 14, 2025 - August 18, 2025"
Landing page,Network (with search partners),Campaign,Device,Day,All conv.,All conv. rate,Impr.,Conversions,Clicks,CTR,Currency code,Avg. CPC,Cost,Avg. cost
https://poolsvacuum.com,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Computers,2025-08-14,0.00,0,15,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Computers,2025-08-15,0.00,0,17,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Mobile phones,2025-08-14,0.00,0,43,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Mobile phones,2025-08-15,0.00,0.00%,54,0.00,1,1.85%,USD,0.13,0.13,0.13
https://poolsvacuum.com,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Tablets,2025-08-14,0.00,0,6,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Tablets,2025-08-15,0.00,0,4,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy #2,Computers,2025-08-14,0.00,0,13,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy #2,Computers,2025-08-15,0.00,0,17,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy #2,Mobile phones,2025-08-14,0.00,0,55,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy #2,Mobile phones,2025-08-15,0.00,0,38,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy #2,Tablets,2025-08-14,0.00,0.00%,8,0.00,2,25.00%,USD,0.11,0.21,0.11
https://poolsvacuum.com,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy #2,Tablets,2025-08-15,0.00,0,2,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Mobile phones,2025-08-14,0.00,0,6,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/blogs/news/pool-perfection-unlocked-best-rated,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Computers,2025-08-15,0.00,0,2,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/blogs/news/pool-perfection-unlocked-best-rated,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Mobile phones,2025-08-14,0.00,0,1,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/blogs/news/pool-perfection-unlocked-best-rated,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Mobile phones,2025-08-15,0.00,0,1,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/blogs/news/pool-perfection-unlocked-best-rated,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Mobile phones,2025-08-16,0.00,0,1,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/blogs/news/pool-vacuum-guide-renting-perfect,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Computers,2025-08-16,0.00,0,1,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/blogs/news/top-pool-vacuums-2025-clean,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Computers,2025-08-15,0.00,0,2,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/blogs/news/top-pool-vacuums-2025-clean,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Mobile phones,2025-08-14,0.00,0,1,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/blogs/news/top-pool-vacuums-2025-clean,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Mobile phones,2025-08-15,0.00,0,2,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/collections/all,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Computers,2025-08-15,0.00,0,8,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/collections/all,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Computers,2025-08-16,0.00,0,14,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/collections/all,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Computers,2025-08-17,0.00,0,11,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/collections/all,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Computers,2025-08-18,0.00,0,14,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/collections/all,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Mobile phones,2025-08-14,0.00,0,36,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/collections/all,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Mobile phones,2025-08-15,0.00,0,57,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/collections/all,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Mobile phones,2025-08-16,0.00,0.00%,72,0.00,2,2.78%,USD,0.09,0.17,0.09
https://poolsvacuum.com/collections/all,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Mobile phones,2025-08-17,0.00,0,59,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/collections/all,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Mobile phones,2025-08-18,0.00,0,24,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/collections/all,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Tablets,2025-08-14,0.00,0,1,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/collections/all,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Tablets,2025-08-15,0.00,0,2,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/collections/all,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Tablets,2025-08-16,0.00,0,5,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/collections/all,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Tablets,2025-08-17,0.00,0,1,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/collections/all,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Tablets,2025-08-18,0.00,0,1,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/collections/all,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy #2,Computers,2025-08-14,0.00,0,2,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/collections/all,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy #2,Computers,2025-08-15,0.00,0,10,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/collections/all,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy #2,Mobile phones,2025-08-14,0.00,0,33,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/collections/all,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy #2,Mobile phones,2025-08-15,0.00,0,22,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/collections/automated-pool-cleaner-selling-in-vacsphere,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Computers,2025-08-15,0.00,0,7,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/collections/automated-pool-cleaner-selling-in-vacsphere,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Mobile phones,2025-08-14,0.00,0,35,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/collections/automated-pool-cleaner-selling-in-vacsphere,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Mobile phones,2025-08-15,0.00,0,47,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/collections/automated-pool-cleaner-selling-in-vacsphere,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy,Tablets,2025-08-14,0.00,0,1,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/collections/automated-pool-cleaner-selling-in-vacsphere,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy #2,Computers,2025-08-14,0.00,0,2,0.00,0,0.00%,USD,0,0.00,0
https://poolsvacuum.com/collections/automated-pool-cleaner-selling-in-vacsphere,Cross-network,Campaign #（europe+austrialia+new sealand） +custom lable0 copy #2,Computers,2025-08-15,0.00,0,9,0.00,0,0.00%,USD,0,0.00,0
